pn,eee-inst-002 part classisifcation,pkg,max junc C,junc derating C,TIM,Tjc C/W,TCB,TJB,length in,width in,smd spec,performance spec
5962r1222201vxc,,,,,none,,,0,,
rh1021bmh-5,5v ref,TO-5,150,110,none,150,,150,,,,mil-std-883 
dac121s101qml,dac,SOIC 10,175,110,none,25.7,,,0.27,0.241
adc128s102qml,micro_mono,SOIC16,175,110,none,11.2,69.63012478,80.83012478,0.39,0.25,5962-07227
adc128s102,micro_mono,TSSOP-16,,,,42,,,,
rhf1009a,2.5v ref,10-cfp,150,110,none,40,50.06446779,90.06446779,0.26,0.26,5962-14222
1n5294ur-1,regulator diode,DO-213AB,175,125,none,100,,25,0.205,0.105,,mil-prf-19500/463
irhluc770z4,pwr. mosfet,LCC-6,150,125,none,?,,0,0.245,0.17
cis2521f,cmos,168-clcc,,,none,,,2,,
isl70244seh,opamp,10-cfp,150,110,none,10,51.65289256,61.65289256,0.26,0.29
2n2222aub,npn trans.,SOT23,200,125,,90,,90,0.128,0.108,,mil-prf-19500/255
ada4610-2s,micro_mono,8-MSOP,150,,sldr,45,78.43,123.43,0.125984252,0.125984252,5961-14207
y14750r02000b0r,resistor,,170,118,,-,0.100709438,0.100709438,0.365,0.375
rdha710se10a2fk,relay,,125,85,,1.7,30.51976892,32.21976892,1.375,0.545
fm12a125v1af,fuse,cavity-style fuse,125,85,a/bn,0,5.29,-,0.41,0.38
ae412pjb102msz,pwr inductor,,155,124,sldr,,1.102292769,1.102292769,0.116,0.116
y16361k00000t0r,resistor_rm,,150,118,sldr,,3.605864578,3.605864578,0.063,0.032
400102701r040d,res,,170,155,sldr,,0.479535717,0.479535717,0.196,0.096
rncf1206tky10k0,resistor_rm,,155,155,sldr,,1.14523924,1.14523924,0.126,0.063
4001023011301l9_,res,,155,155,sldr,,17.11930098,17.11930098,0.0547,0.0244
m3gb2803r312t,,,-,70,,-,-,0.0375,3.055,2.055
isl71590seh,,,,,,,,,,
rhflvdsr2d2,,,150,110,,21,57.89233779,78.89233779,0.285,0.473,,mil-prf-38535
ut8q512k32e,,,150,110,,10,100.9021535,110.9021535,0.98,0.98
ut28f256lvqle,,,175,110,,3.3,79.00521754,82.30521754,0.49,0.74
ut8mr2m8-40xec,,,125,85,a/bn,5,0.68625573,5.68625573,0.8,1.22
